,nickname,lane,team,country,tier,point,name,accountId,id,puuid
11,Gumayusi,ADC, T1,Korea,Challenger,"1,372",구마유시,eYUXpp1Z99v0-hkuphbvs4kDM7jv3CHltlKIGBZGlvtp,_pVs4Pr19k2F-iU1PGS_Ph3ERZfCrPpn3krCAOjLXVimTQ,slUk9U0ZCFZnMFXPgbS9aKvX0CKbgbRemlywa92iZdFiqsE7ct4R15ahRk0TRKd7IK8dWwuLBC4drg
12,ADD,Top,No Team,China,Challenger,"1,366",ADD on win,nQcNsxDHvaxaFzO0b1SNb5wucBoDzYTPsuT4itiqvgSeSwU,q0CJdoudeBR_EBVHEt3K_HNlpnW8vLR-Pq5LlABZYVIze2c,2ZuYicej5moyPQtV7cSVBKOrAYQxJFwPx_0vy6CjrYHgiw_XaP15OP_L_sL0_Sc4vAg19LgmQYwo3A
13,Hena,ADC, hyFresh Blade,Korea,Challenger,"1,351",BRB 헤나,0xVLBpe4miGjajt84tyZyBttutXjtsXyJ3e4jnC-09qvLdQ,6ptdkyacKwF67ZPrnnNuFSOKfRxUAiJJM9_lJE9SNAgZwag,Z4vd99ivb-to3kwNfhsrD3-MV_DE90OAe7RYFza7mkrmzCiT9CHlM5Z4XHnq41-TZsi4blfVWo54Og
14,Rich,Mid, Team Dynamics,Korea,Challenger,"1,345",농심 리치,0YL27dpMYWVtoVLwfPd45xyxQ_OpY37IfK9XWxkocHEfHgY,zatvJN-B3ifjlK9zAyBoEGBjiV7KuhJfgpdjUTxQE2W5iUg,vp7IRzutjrcDbC0tZ4DNDMVmd3Ygb_cOf_y_c6Kv1-GjCAV4ud7r0GUaD4oO_BUN7UbRu5u7GeACsg
15,Chieftain,Jungle, hyFresh Blade,Korea,Challenger,"1,338",BRB 치프틴,ublJ6-hSJKKIrW7GNSY3nLiyNPkIGCdDybYvuRi-ZDFTPS4,sBvt6mVUg12jv0LYJxxzT_mrebepazT8_ElbboE81r5rsZQ,SozbNbxjgzUAo9GsVGa7d7kd-b4Sqzfjy2gBY-kCTvsTflsDsI11A8Q-a8Vss8q8QzlIyLdGWnHJOQ
16,Fisher,Mid, T1 Academy,Korea,Challenger,"1,335",T1 Fisher,S77PmOHC8WVAbko7G0dkxvocl1IumMpkWxZZmOFnWRU7QxHXCPocZoLE,4p6jTET6DFcnHnqHXoem2ui6s90uIwTCAXLy-3GSyBJe2lw,eerYgnQhUwoC1uESdqU06N44y1d_-7yyx7zwX5fsAOTdAalPCnwgPTtl9J_aYgIenKoyGKVQ56YDrw
17,Tarzan,Jungle,No Team,China,Challenger,"1,334",미친듯이 파이팅,KJNqghp3MtXstSliaCIMOPEA3hHHHZgNPhPdAaJEE-anrGE,VeZb0m5ibV7KefEQ3Ck1vCml4z4FQJv-1NQ7Ntbw_1dfORA,C-65nFdeRK701wkIhnHT1OijDV87XAjbfrleXMiW1Hq_sHfmgL0j5WwoKtk1t-IQlqMu7KrN1TZ1Dg
18,Minit,Support,No Team,Korea,Challenger,"1,318",FA Minit,eVo0paZfpWreOThFPCJp6tUW7oRROmH5yZKi3FV3CrFai1g,qJVgK3c2wiGoEyJhEh_zjGdiTeajAnJOr12QhrTI4QHuLm0,yTvBqHcg97rYGSIrpqaQ243N7UzaeaME0-E_YwpKOhuS7JjVXH1yGEpnxLxEnLyUjhUrRpBuOkWNjg
19,Cryin,Mid, Royal Never Give Up,China,Challenger,"1,289",ashead open,-A7GiqcrkTJcwVZtbe-cPHElu_SbF1lB9Hf521X6IyagkIU1MLrE4rux,55qwMhBMBHg1iTUYzZ0vS7okGcvGjsS-LePQYHcDDuXllks,fBGcbL4Y5KDd2Dh8cQ66Z2epXntB8drHZpKIauYrhaSxEnJEOa2wX9gWxE8dnL_CdL3Sua49kFuJkA
20,Zeka,Mid,No Team,Korea,Challenger,"1,270",나는 준일하다,5IHJVbKoGKsJF_W2Uu63pa2IJH4dVwCUmzxVculpUHok2Js7dY-3_qrO,IxereOEC6EwY8Hfo3SFe2Hylh_O4F_4dNGqE-JDHYq3Ij4g,daKGDVAusz5xHnvPRUMa6vVWLMQUUiMjmX9hvnv6YnGreZTpnxSjGN6nH_YvGwxBFF9VcwC8DZf39Q
